HR,Time Stamp,
61.98,1548340291,1/24/19 14:31
62.02,1548340292,1/24/19 14:31
62.12,1548340293,1/24/19 14:31
62.22,1548340293,1/24/19 14:31
62.48,1548340294,1/24/19 14:31
62.72,1548340295,1/24/19 14:31
63.03,1548340295,1/24/19 14:31
63.37,1548340296,1/24/19 14:31
63.67,1548340296,1/24/19 14:31
64.03,1548340297,1/24/19 14:31
64.53,1548340298,1/24/19 14:31
64.98,1548340298,1/24/19 14:31
65.4,1548340299,1/24/19 14:31
65.87,1548340300,1/24/19 14:31
66.27,1548340301,1/24/19 14:31
66.67,1548340301,1/24/19 14:31
67.07,1548340301,1/24/19 14:31
67.38,1548340302,1/24/19 14:31
67.82,1548340302,1/24/19 14:31
68.05,1548340303,1/24/19 14:31
68.33,1548340304,1/24/19 14:31
68.48,1548340304,1/24/19 14:31
68.63,1548340305,1/24/19 14:31
68.87,1548340306,1/24/19 14:31
69.15,1548340306,1/24/19 14:31
69.28,1548340307,1/24/19 14:31
69.42,1548340307,1/24/19 14:31
69.5,1548340308,1/24/19 14:31
69.6,1548340309,1/24/19 14:31
69.68,1548340309,1/24/19 14:31
69.78,1548340310,1/24/19 14:31
70.03,1548340310,1/24/19 14:31
70.27,1548340311,1/24/19 14:31
70.45,1548340312,1/24/19 14:31
70.65,1548340312,1/24/19 14:31
70.8,1548340313,1/24/19 14:31
71.03,1548340313,1/24/19 14:31
71.2,1548340314,1/24/19 14:31
71.4,1548340314,1/24/19 14:31
71.62,1548340315,1/24/19 14:31
71.95,1548340316,1/24/19 14:31
72.28,1548340317,1/24/19 14:31
72.67,1548340317,1/24/19 14:31
73.05,1548340318,1/24/19 14:31
73.38,1548340318,1/24/19 14:31
73.73,1548340319,1/24/19 14:31
74,1548340319,1/24/19 14:31
74.25,1548340320,1/24/19 14:32
74.48,1548340320,1/24/19 14:32
74.78,1548340320,1/24/19 14:32
75.07,1548340321,1/24/19 14:32
75.38,1548340322,1/24/19 14:32
75.73,1548340322,1/24/19 14:32
